System,lambda,lambda_err,psi,psi_err,sy_snum,sy_pnum,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_insol,pl_insol_err,pl_eqt,pl_eqt_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_spectype,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_lum,st_lum_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,st_rotp,st_rotp_err
Kepler-63 b,110.0,18.0,104.0,11.5,1,1,9.4341505,1e-06,0.08,0.002,6.11,0.2,0.378,0.378,0.45,0.45,,,,,19.12,0.08,0.0622,0.001,,5576.0,50.0,0.9,0.025,0.98,0.04,0.05,0.08,-0.157,0.041499999999999995,4.52,0.02,0.21,0.045,5.6,0.8,,
KOI-94 d,6.0,12.0,,,2,4,22.342989,6.7e-06,0.1684,0.0022,11.27,1.06,0.334,0.035,0.022,0.038,,,806.0,806.0,23.8,1.9,0.06802,8e-05,,6182.0,58.0,1.52,0.14,1.28,0.05,0.023,0.002,0.479,0.088,4.18,0.07,3.16,0.39,7.3,0.5,,
Kepler-408 b,,,48.0,4.5,1,1,2.46502,2.46502,,,0.82,0.03,0.01573,0.01573,,,,,,,,,0.00614,0.00614,,6104.0,74.0,1.23,0.03,1.08,0.07,-0.2,0.1,,,4.29,0.03,6.68,6.68,3.1,3.1,,
KOI-1257 b,74.0,39.0,,,2,1,86.647661,3.4e-05,0.382,0.006,10.54,1.35,1.45,0.35,0.772,0.045,,,511.0,50.0,,,,,G5 V,5520.0,80.0,1.13,0.14,0.99,0.05,0.27,0.09,,,4.32,0.1,9.3,3.0,4.6,0.2,,
KOI-12 b,7.1,3.5,,,1,2,17.855182,7e-06,0.154,0.0035,13.787,0.6165,1.1,2.15,0.34,0.07500000000000001,,,,,,,,,,6820.0,120.0,1.4,0.065,1.5,0.1,,,,,,,,,,,,
Kepler-1656 b,35.0,18.5,,,1,2,31.562,0.011,0.1974,0.0026,,,0.15,0.02,0.838,0.037,,,,,,,,,,5731.0,60.0,1.1,0.13,1.03,0.04,,,,,,,6.31,2.5,2.8,1.0,,
MASCARA-1 b,69.2,3.25,72.1,2.45,1,1,2.14877381,8.750000000000001e-07,0.040352,4.75e-05,17.901,0.20750000000000002,,,0.00034,0.000285,,,2594.3,1.55,4.1676,0.0049,0.07884,0.00021500000000000002,,7490.0,150.0,2.08,0.02,1.9,0.065,0.15,0.15,1.083,0.035500000000000004,,,0.8,0.2,101.7,3.85,0.85,0.02
MASCARA-4 b,109.66,0.14,,,2,1,2.82406,3e-05,0.047,0.004,17.15,0.6165,3.1,0.9,0.0,0.0,,,2100.0,100.0,5.26,5.26,0.08,0.003,A7 V,7800.0,200.0,1.92,0.11,1.75,0.05,0.0,0.0,1.087,0.0235,4.1,0.05,0.8,0.8,45.66,1.015,,
Qatar-1 b,8.4,7.1,,,1,1,1.4200242,2.2e-07,0.02332,0.0004,12.812,0.2855,1.294,0.0505,0.0,0.0,,,1418.0,27.5,6.247,0.066,0.14629,0.000635,,5013.0,90.5,0.8,0.02,0.84,0.04,0.171,0.0955,-0.438,0.0435,4.55,0.01,,,1.76,0.21,,
Qatar-2 b,0.0,8.0,,,1,1,1.33711647,2.6e-07,0.02153,0.0002,14.056,0.146,2.494,0.054,0.0,0.0,,,1344.0,14.0,,,0.1659,0.00044,,4645.0,50.0,0.78,0.01,0.74,0.02,0.02,0.08,,,4.53,0.01,5.0,5.0,3.28,0.04,,
