sy_snum,sy_pnum,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,Obliquity,Obliquity_err
2,1,2.8106,5e-06,,,16.141,1.681,0.83,0.18,0.04,0.02,7.43,0.34,,,6304.0,88.0,1.31,0.13,1.55,0.51,0.13,0.13,4.36,0.3,,,,,70.5,2.8499999999999996
2,1,2.1500082,1.3e-07,0.03397,0.000505,22.194,0.504,0.68,0.10500000000000001,0.159,0.0395,5.344,0.0395,0.14886,0.0005499999999999999,6001.0,88.0,1.37,0.03,1.13,0.05,-0.16,0.08,4.22,0.04,,,,,85.0,1.5
2,1,3.47447,1e-06,,,20.737,5.492,0.92,0.5,0.0,0.0,6.57,0.18,,,6446.0,88.0,1.79,0.48,1.82,1.45,0.05,0.05,4.15,0.01,,,,,5.9,4.1
1,1,5.452654,1.6e-05,0.06774,0.00075,13.417,1.244,3.33,0.20500000000000002,0.432,0.028,,,,,6442.0,88.0,1.53,0.12000000000000001,1.39,0.05,0.22,0.04,,,1.7,0.45,24.0,0.5,0.0,14.0
1,1,1.32734683,4.8e-07,0.0241,0.00047,14.314,0.224,1.8482,0.087,,,4.95,0.042,0.1199,0.0002,5620.0,40.0,1.04,0.01,1.03,0.03,,,,,,,,,0.0,31.5
2,1,2.69405,4e-06,,,22.978,5.604,1.19,0.6,0.0,0.0,5.45,0.18,,,6390.0,100.0,2.05,0.5,2.56,1.9,0.21,0.21,4.14,0.02,,,,,22.1,3.4
1,1,2.69155,6e-06,,,17.822,2.018,2.2,0.59,0.0,0.0,5.15,0.31,,,6820.0,52.0,2.06,0.23,2.22,0.83,0.07,0.07,4.1,0.04,,,,,97.7,1.8
1,1,2.79083,5e-06,,,16.926,1.233,2.31,0.44,,,6.37,0.11,,,6566.0,50.0,1.47,0.11,1.42,0.33,0.0,0.0,3.39,0.19,,,,,8.0,2.0
2,1,4.8101025,3.8e-07,0.06505,0.0017599999999999998,23.371,0.936,0.34,0.22,0.0,0.0,5.691,0.0905,0.0834,0.0017,6406.0,63.0,2.55,0.09,1.64,0.11,-0.08,0.05,3.85,0.015,1.24,0.245,35.8,1.1,2.2,0.4
1,1,4.7869491,1.95e-06,0.06555,0.000525,18.786,0.471,3.58,0.58,0.0,0.0,7.32,0.16999999999999998,0.08703,0.0007750000000000001,7394.0,480.0,1.93,0.045,1.65,0.045,-0.069,0.0665,4.11,0.045,1.27,0.36,77.44,0.56,30.3,6.699999999999999
1,1,2.74432452,7.35e-07,0.04739,0.000685,20.961,1.401,6.78,6.78,0.0,0.0,5.45,0.39,0.09887,0.00114,8450.0,615.0,1.86,0.105,1.89,0.01,-0.059,0.08149999999999999,4.18,0.06,0.6,0.29000000000000004,99.85,0.625,107.9,1.85
1,1,1.35413379,8e-08,0.02317,0.00044,12.576,0.269,1.37,0.16,,,,,,,5227.0,95.0,0.88,0.02,0.9,0.05,,,4.51,0.01,7.2,6.4,,,38.0,27.0
1,1,3.547851,5e-06,0.0485,0.0005,15.48,0.392,1.071,0.136,0.0,0.0,7.42,0.12,0.1011,0.0006,6351.0,76.0,1.4,0.03,1.21,0.04,-0.157,0.07,4.22,0.01,3.2,0.5,9.12,1.31,3.0,25.0
1,1,2.7667641,2.7e-06,0.03815,0.00032,11.646,0.303,1.071,0.07,0.142,0.142,8.8,0.16999999999999998,0.1145,0.0012,5346.0,60.0,0.93,0.015,0.97,0.02,0.33,0.06,4.48,0.02,4.9,1.7,3.8,1.2,76.0,4.5
1,1,1.8882378,1.5e-06,0.03632,0.0008049999999999999,15.513,0.8574999999999999,12.9,1.7000000000000002,0.18,0.18,4.17,0.14500000000000002,0.074,0.0028,7930.0,725.0,1.88,0.065,1.78,0.12,0.041,0.101,4.17,0.04,0.81,0.41500000000000004,40.61,0.33499999999999996,8.9,5.05
1,4,0.959641,1.1e-05,0.01796,0.00034,1.67,0.135,0.01564,0.00074,0.0,0.0,,,,,5261.0,60.0,0.88,0.01,0.84,0.045,0.04,0.05,,,7.8,4.3,,,29.5,8.3
1,4,29.8454,0.0012,0.1776,0.0034000000000000002,3.0,0.33,0.03502,0.0023899999999999998,0.06,0.06,,,,,5261.0,60.0,0.88,0.01,0.84,0.045,0.04,0.05,,,7.8,4.3,,,107.7,5.0
1,1,21.21663,0.00045,,,12.33,0.336,3.51,0.21,0.68,0.0,23.34,0.43,,,6040.0,24.0,1.55,0.04,1.41,0.12,0.19,0.19,4.2,0.06,,,,,10.0,5.1
1,3,7.1079384,6.6e-06,0.072,0.001,2.164,0.053000000000000005,0.11736,0.0302,0.0,0.0,,,0.02163,0.00043,5634.0,63.5,0.92,0.01,0.99,0.025,0.079,0.0535,4.51,0.015,1.5,1.3,,,8.0,39.0
2,1,111.4367,0.0004,,,11.994,0.336,4.38,0.74,0.93,0.0,98.38,7.32,,,5561.0,24.0,1.04,0.02,1.15,0.27,0.35,0.35,4.42,0.02,,,,,42.0,8.0
1,2,21.05704,0.00046,0.1536,0.0017,4.35,0.23,0.04782,0.01164,0.22,0.15,25.5,1.2,0.03086,0.001,6327.0,48.0,1.3,0.06,1.09,0.04,-0.311,0.079,4.25,0.04,4.48,0.96,12.71,0.4,2.7,2.6500000000000004
3,6,13.673694,2.4e-05,0.1039,0.0013,2.388,0.036,0.01982,0.01982,,,28.37,0.3,0.0278,0.0003,5266.0,64.0,0.79,0.01,0.8,0.04,-0.2,0.04,4.54,0.03,8.1,4.0,2.5,1.0,6.0,25.0
1,1,2.87589,2e-06,,,8.295,0.224,0.38,0.06,0.0,0.0,6.8,0.52,,,6179.0,15.0,1.41,0.03,1.42,0.33,0.32,0.32,4.37,0.04,,,,,12.0,7.0
2,1,2.21857567,1.5e-07,,,12.666,0.112,1.13,0.08,0.0,0.0,8.84,0.27,,,5052.0,16.0,0.75,0.01,0.79,0.08,-0.02,0.02,4.49,0.05,,,,,13.6,6.9
1,1,3.52474859,3.8e-07,,,15.581,0.224,0.73,0.04,0.0,0.0,8.81,0.19,,,6091.0,10.0,1.19,0.02,1.23,0.09,0.01,0.01,4.45,0.02,,,,,1.58,0.08
1,1,18.712024,2.3e-05,0.145,0.003,9.073,0.181,0.23314,0.017305,0.0,0.0,,,0.0657,0.00053,6128.0,83.5,1.27,0.02,1.16,0.03,0.043,0.062,4.3,0.02,2.9,0.8500000000000001,,,2.0,6.0
1,1,6.959503,1.55e-05,,,10.07,0.47,,,0.059,0.1195,11.7,0.255,0.0667,0.00115,5675.0,75.0,1.38,0.06,1.22,0.05,0.0,0.0,,,0.017,0.002,54.2,0.7,20.2,9.5
1,1,3.48456408,5.5e-07,0.0287,0.0012,3.44,0.12,0.07709,0.017145,0.428,0.0495,21.09,0.58,0.1075,0.0018,3207.0,58.0,0.29,0.01,0.26,0.01,0.15,0.03,4.94,0.03,0.73,0.051000000000000004,8.8,0.6,17.0,9.5
