pl_name,default_flag,sy_snum,sy_pnum,discoverymethod,tran_flag,pl_controv_flag,cb_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,rowupdate
Kepler-232 b,1,1,2,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,4.431222,1.1e-05,-1.1e-05,0,0.054,,,0,3.08,1.47,-1.47,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5847.0,200.0,-200.0,0,0.97,0.46,-0.46,0,,,,,,,,,,,,,4.5,0.3,-0.3,0,,,,,,,,,,,,,2014-05-14
Kepler-1057 b,1,1,1,Transit,1,0,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,14.08827448,4.045e-05,-4.045e-05,0,,,,,3.36,1.1,-0.52,0,,,,,,,,,,,,,,,,,,,,,0.02813,0.00071,-0.0005,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5987.0,293.78,-296.99,0,1.1,0.36,-0.17,0,1.07,0.15,-0.11,0,0.01,0.132,-0.181,0,,,,,4.38,0.11,-0.18,0,3.09,2.43,-1.41,0,,,,,,,,,2016-05-06
Kepler-1314 b,1,1,1,Transit,1,0,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5.42474928,3.97e-06,-3.97e-06,0,,,,,5.11,0.19,-0.19,0,,,,,,,,,,,,,,,,,,,,,0.08038,0.00158,-0.00068,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4188.0,92.28,-113.71,0,0.59,0.02,-0.02,0,0.6,0.02,-0.02,0,-0.22,0.078,-0.068,0,,,,,4.68,0.02,-0.02,0,6.03,5.91,-3.53,0,,,,,,,,,2016-05-06
Kepler-717 b,1,1,1,Transit,1,0,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,4.40840023,1.493e-05,-1.493e-05,0,,,,,2.42,0.25,-0.35,0,,,,,,,,,,,,,,,,,,,,,0.02605,2e-05,-0.00324,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5485.0,120.85,-81.84,0,0.85,0.09,-0.06,0,0.88,0.05,-0.05,0,-0.12,0.155,-0.174,0,,,,,4.53,0.05,-0.1,0,4.37,5.47,-2.72,0,,,,,,,,,2016-05-06
Kepler-812 b,1,1,1,Transit,1,0,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,10.11716531,2.533e-05,-2.533e-05,0,,,,,3.55,1.35,-0.68,0,,,,,,,,,,,,,,,,,,,,,0.01863,0.00084,-0.00221,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6761.0,124.82,-102.89,0,1.71,0.64,-0.26,0,1.45,0.21,-0.14,0,0.02,0.128,-0.169,0,,,,,4.13,0.12,-0.21,0,1.66,0.4,-0.32,0,,,,,,,,,2016-05-06
Kepler-680 b,1,1,1,Transit,1,0,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.68992629,9.43e-06,-9.43e-06,0,,,,,2.42,0.82,-0.25,0,,,,,,,,,,,,,,,,,,,,,0.01962,0.00072,-0.00035,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5890.0,77.37,-99.2,0,1.11,0.38,-0.11,0,1.08,0.1,-0.06,0,0.13,0.152,-0.146,0,,,,,4.38,0.08,-0.22,0,3.72,1.93,-2.01,0,,,,,,,,,2016-05-06
Kepler-244 d,1,1,3,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,20.050401,0.00013,-0.00013,0,0.14,,,0,2.31,0.97,-0.97,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5554.0,200.0,-200.0,0,0.8,0.34,-0.34,0,,,,,,,,,,,,,4.58,0.3,-0.3,0,,,,,,,,,,,,,2014-05-14
Kepler-803 b,1,1,1,Transit,1,0,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,50.28638192,8.862e-05,-8.862e-05,0,,,,,3.79,0.55,-0.38,0,,,,,,,,,,,,,,,,,,,,,0.03105,0.00043,-0.00026,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5919.0,99.49,-100.93,0,1.12,0.16,-0.11,0,1.05,0.05,-0.05,0,0.02,0.085,-0.092,0,,,,,4.36,0.09,-0.11,0,4.9,1.88,-2.48,0,,,,,,,,,2016-05-06
Kepler-602 b,1,1,1,Transit,1,0,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,15.28469497,6.919e-05,-6.919e-05,0,,,,,2.09,0.65,-0.32,0,,,,,,,,,,,,,,,,,,,,,0.01699,0.0004,-0.00036,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6062.0,218.54,-238.63,0,1.13,0.35,-0.17,0,1.08,0.14,-0.1,0,-0.02,0.147,-0.187,0,,,,,4.37,0.11,-0.19,0,3.16,2.06,-1.45,0,,,,,,,,,2016-05-06
Kepler-712 b,1,1,2,Transit,1,0,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,21.02247699,4.431e-05,-4.431e-05,0,,,,,3.41,0.14,-0.11,0,,,,,,,,,,,,,,,,,,,,,0.03982,0.00116,-0.00057,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5148.0,83.48,-78.09,0,0.78,0.02,-0.02,0,0.84,0.03,-0.04,0,-0.03,0.106,-0.105,0,,,,,4.58,0.02,-0.02,0,3.31,2.8,-1.61,0,,,,,,,,,2016-05-06
