pl_name,default_flag,sy_snum,sy_pnum,discoverymethod,tran_flag,pl_controv_flag,cb_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,rowupdate
K2-356 b,1,1,1,Transit,1,0,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,21.0267366,0.0036912,-0.0038993,0,0.1599,0.0178,-0.0306,0,2.29,0.15,-0.12,0,,,,,,,,,,,,,624.0,0.0,-37.0,0,40.15,4.07,-7.66,0,0.0244,0.0013,-0.001,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,5568.0,178.0,-150.0,0,0.86,0.03,-0.03,0,0.9,0.05,-0.06,0,-0.11,0.15,-0.17,0,,,,,4.52,0.03,-0.04,0,,,,,,,,,,,,,2021-09-20
HIP 41378 d,1,1,5,Transit,1,0,0,<a refstr=BERARDO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..185B/abstract target=ref>Berardo et al. 2019</a>,1114.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0256,0.0005,-0.0007,0,<a refstr=BERARDO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..185B/abstract target=ref>Berardo et al. 2019</a>,,6226.0,43.0,-43.0,0,1.34,0.03,-0.03,0,1.17,0.07,-0.07,0,,,,,,,,,,,,,,,,,,,,,,,,,2019-06-03
K2-259 b,1,1,1,Transit,1,0,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,15.48043,0.00332,-0.00392,0,0.1271,0.001,-0.0011,0,2.32,0.2,-0.17,0,,,,,,,,,,,,,795.0,13.0,-13.0,0,29.9,4.4,-7.1,0,0.0189,0.0015,-0.0013,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,,6059.0,62.0,-76.0,0,1.13,0.03,-0.02,0,1.14,0.03,-0.03,0,0.16,0.04,-0.04,0,,,,,4.39,0.02,-0.03,0,,,,,5.23,0.2,-0.2,0,,,,,2022-03-28
K2-190 b,1,1,2,Transit,1,0,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,10.098858,0.000619,-0.000643,0,,,,,1.357,0.176,-0.102,0,,,,,,,,,,,,,,,,,17.225461,2.35133,-5.518053,0,0.01364,0.00104,-0.00055,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5631.0,50.0,-50.0,0,0.91,0.1,-0.06,0,0.9,0.03,-0.04,0,-0.19,0.08,-0.08,0,,,,,4.38,0.1,-0.1,0,,,,,,,,,,,,,2018-02-14
K2-229 c,1,1,2,Transit,1,0,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,8.32727,0.00041,-0.00043,0,0.0769,0.0003,-0.0003,0,2.03,0.12,-0.06,0,,,,,,,,,,,,,750.0,6.0,-6.0,0,24.9,2.0,-5.0,0,0.0236,0.0015,-0.0007,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,,5315.0,35.0,-31.0,0,0.79,0.01,-0.01,0,0.87,0.01,-0.01,0,-0.09,0.02,-0.02,0,,,,,4.59,0.0,-0.01,0,,,,,2.46,0.22,-0.22,0,,,,,2022-06-08
K2-281 b,1,1,1,Transit,1,0,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,8.687721,0.000151,-0.00015,0,0.0773,0.0008,-0.0008,0,8.18,0.21,-0.21,0,,,,,,,,,,,,,665.0,12.0,-12.0,0,25.9,0.69,-1.85,0,0.0987,0.0025,-0.0012,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,4812.0,72.0,-72.0,0,0.76,0.01,-0.01,0,0.82,0.03,-0.03,0,0.22,0.05,-0.05,0,,,,,4.59,0.02,-0.02,0,,,,,,,,,,,,,2018-10-24
K2-224 b,1,1,2,Transit,1,0,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,4.47904,0.00116,-0.00132,0,0.0516,0.0004,-0.0004,0,1.56,0.16,-0.14,0,,,,,,,,,,,,,1002.0,11.0,-11.0,0,13.2,2.5,-3.5,0,0.017,0.0017,-0.0015,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,,5620.0,42.0,-45.0,0,0.84,0.01,-0.01,0,0.91,0.02,-0.02,0,-0.19,0.06,-0.06,0,,,,,4.55,0.01,-0.02,0,,,,,,,,,,,,,2022-06-08
K2-17 b,1,1,1,Transit,1,0,0,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,17.96753,0.00152,-0.00152,0,0.119,0.002,-0.002,0,2.23,0.2,-0.2,0,,,,,,,,,,,,,487.0,10.0,-10.0,0,39.38,0.85,-0.85,0,,,,,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,,4320.0,56.0,-47.0,0,0.66,0.02,-0.03,0,0.71,0.02,-0.05,0,0.15,0.09,-0.22,0,,,,,,,,,,,,,,,,,,,,,2015-07-13
K2-409 b,1,1,1,Transit,1,0,0,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,1.908084,4.7e-05,-5.8e-05,0,,,,,2.482,0.174,-0.158,0,,,,,,,,,,,,,,,,,5.32,0.41,-0.55,0,0.0185,0.001,0.0,0,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,,5742.0,138.0,-138.0,0,1.23,0.08,-0.07,0,0.89,0.37,-0.27,0,-0.036,0.235,-0.235,0,,,,,4.2,0.15,-0.15,0,,,,,,,,,,,,,2022-03-16
EPIC 201427007 b,1,1,1,Transit,1,0,0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.72091,0.00014,-0.00014,0,,,,,1.5,0.2,-0.2,0,,,,,,,,,,,,,,,,,3.1,0.3,-0.6,0,0.0142,0.0013,-0.00067,0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,,5633.0,111.0,-111.0,0,0.94,0.09,-0.09,0,,,,,-0.053,0.24,-0.24,0,,,,,4.4,0.07,-0.07,0,,,,,,,,,,,,,2021-10-25
WASP-55 b,1,2,1,Transit,1,0,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,4.46563,4e-06,-4e-06,0,,,,,14.908,1.457,-1.457,0,0.61,0.13,-0.13,0,0.0,,,0,,,,,,,,,10.83,0.31,-0.31,0,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5900.0,100.0,-100.0,0,1.09,0.11,-0.11,0,1.11,0.35,-0.35,0,-0.2,,,0,,,,,4.3,0.1,-0.1,0,,,,,,,,,,,,,2018-04-25
EPIC 201757695.02,1,1,1,Transit,1,0,0,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,2.0478,0.0001,-0.0001,0,0.0296,0.0005,-0.0005,0,0.908,0.059,-0.064,0,,,,,0.0,,,0,,,,,,,,,,,,,0.0127,0.0002,-0.0002,0,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,,4520.0,108.0,-54.0,0,0.66,0.04,-0.04,0,0.73,0.04,-0.05,0,-0.003,0.12,-0.3,0,-0.364,0.325,-0.955,0,4.66,0.04,-0.03,0,,,,,,,,,,,,,2020-11-13
K2-117 c,1,1,2,Transit,1,0,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,5.444017,0.000462,-0.000455,0,0.0492,0.0003,-0.0003,0,2.06,0.12,-0.12,0,,,,,,,,,,,,,537.0,9.0,-9.0,0,18.52,2.17,-4.33,0,0.0368,0.0024,-0.0019,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,3778.0,53.0,-53.0,0,0.51,0.01,-0.01,0,0.54,0.01,-0.01,0,-0.05,0.13,-0.13,0,,,,,4.75,0.01,-0.01,0,,,,,,,,,,,,,2018-10-24
K2-268 f,1,1,5,Transit,1,0,0,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,26.27057,0.000105,-0.000109,0,,,,,2.23,0.15,-0.09,0,,,,,,,,,,,,,492.0,8.0,-10.0,0,41.41,3.15,-8.33,0,0.0259,0.0017,-0.0008,0,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,,5106.0,70.0,-61.0,0,0.78,0.02,-0.02,0,0.84,0.02,-0.02,0,0.03,0.05,-0.05,0,,,,,4.58,0.02,-0.03,0,,,,,,,,,24.87,2.64,-2.64,0,2021-08-23
K2-59 c,1,1,2,Transit,1,0,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,11.2954,0.001,-0.001,0,0.0905,0.0028,-0.0028,0,2.3,0.29,-0.29,0,,,,,,,,,38.3,8.4,-8.4,0,,,,,,,,,0.0286,0.0023,-0.0023,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,5055.0,93.0,-93.0,0,0.73,0.07,-0.07,0,0.77,0.07,-0.07,0,,,,,,,,,4.59,0.05,-0.05,0,,,,,,,,,,,,,2016-07-14
K2-230 b,1,1,1,Transit,1,0,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,2.86041,0.00061,-0.00061,0,0.0409,0.0003,-0.0002,0,1.96,0.18,-0.16,0,,,,,,,,,,,,,1529.0,22.0,-22.0,0,7.3,1.4,-1.6,0,0.0129,0.0011,-0.001,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,,5945.0,23.0,-25.0,0,1.39,0.04,-0.04,0,1.11,0.02,-0.02,0,0.1,0.04,-0.04,0,,,,,4.2,0.02,-0.02,0,,,,,5.2,0.2,-0.2,0,,,,,2022-03-28
EPIC 248847494 b,1,1,1,Transit,1,0,0,<a refstr=GILES_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615L..13G/abstract target=ref>Giles et al. 2018</a>,3650.0,1280.0,-1130.0,0,4.5,1.0,-1.0,0,12.442,0.785,-0.785,0,13.0,,,1,0.0,,,0,0.19,0.12,-0.07,0,183.0,25.0,-18.0,0,,,,,0.042,0.002,-0.002,0,<a refstr=GILES_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615L..13G/abstract target=ref>Giles et al. 2018</a>,,4898.0,68.0,-68.0,0,2.7,0.12,-0.12,0,0.9,0.09,-0.09,0,-0.23,0.04,-0.04,0,,,,,3.52,,,0,,,,,,,,,,,,,2019-07-19
K2-188 b,1,1,2,Transit,1,0,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,1.742169,0.000457,-0.000365,0,0.0289,0.0003,-0.0003,0,1.35,0.11,-0.11,0,,,,,,,,,,,,,1692.0,33.0,-32.0,0,4.67,0.74,-1.07,0,0.0104,0.0009,-0.0008,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,5977.0,87.0,-87.0,0,1.19,0.03,-0.03,0,1.06,0.03,-0.03,0,-0.01,0.05,-0.05,0,,,,,4.31,0.03,-0.03,0,,,,,,,,,,,,,2020-03-30
K2-60 b,1,1,1,Transit,1,0,0,<a refstr=EIGM_UUML_LLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..130E/abstract target=ref>Eigm&uuml;ller et al. 2017</a>,3.00265,4e-05,-4e-05,0,0.045,0.003,-0.003,0,7.656,0.415,-0.415,0,0.426,0.037,-0.037,0,0.0,,,0,,,,,1400.0,50.0,-50.0,0,7.78,0.17,-0.17,0,0.063,0.001,-0.001,0,<a refstr=EIGM_UUML_LLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..130E/abstract target=ref>Eigm&uuml;ller et al. 2017</a>,G4 V,5500.0,100.0,-100.0,0,1.12,0.05,-0.05,0,0.97,0.07,-0.07,0,0.01,0.11,-0.11,0,,,,,4.07,0.11,-0.11,0,10.0,3.0,-3.0,0,2.2,0.5,-0.5,0,,,,,2017-01-31
K2-365 b,1,1,1,Transit,1,0,0,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,23.448172,0.000766,-0.000996,0,,,,,2.906,0.195,-0.176,0,,,,,,,,,,,,,,,,,30.65,1.48,-2.96,0,0.0253,0.001,0.0,0,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,,5561.0,138.0,-138.0,0,1.05,0.07,-0.06,0,0.82,0.37,-0.25,0,-0.021,0.235,-0.235,0,,,,,4.31,0.15,-0.15,0,,,,,,,,,,,,,2022-03-16
K2-32 d,1,2,4,Transit,1,0,0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,31.71701,0.00101,-0.00096,0,0.18422,0.00152,-0.00144,0,3.484,0.112,-0.129,0,0.02108,0.00787,-0.00787,0,0.05,0.053,-0.035,0,,,,,550.0,8.0,-9.0,0,46.02,1.5,-1.37,0,0.03704,0.00062,-0.00054,0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,,5271.0,39.0,-35.0,0,0.86,0.02,-0.02,0,0.83,0.02,-0.02,0,-0.06,0.03,-0.03,0,,,,,4.49,0.03,-0.03,0,,,,,,,,,,,,,2021-05-17
K2-6 b,1,1,1,Transit,1,0,0,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,30.94191,0.00467,-0.00467,0,0.1898,0.0056,-0.0056,0,2.5,0.88,-0.88,0,,,,,,,,,,,,,615.0,105.0,-105.0,0,50.27,24.56,-24.56,0,,,,,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,,5850.0,79.0,-98.0,0,0.96,0.14,-0.09,0,0.97,0.07,-0.07,0,-0.14,0.17,-0.2,0,,,,,,,,,,,,,,,,,,,,,2015-07-13
K2-88 b,1,1,1,Transit,1,0,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,4.6122,0.00018,-0.00018,0,0.0345,0.003,-0.003,0,1.23,0.25,-0.25,0,,,,,,,,,7.8,3.5,-3.5,0,,,,,,,,,0.0436,0.0024,-0.0024,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,3537.0,93.0,-93.0,0,0.26,0.05,-0.05,0,0.26,0.07,-0.07,0,,,,,,,,,5.02,0.07,-0.07,0,,,,,,,,,,,,,2016-07-14
K2-233 b,1,1,3,Transit,1,0,0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,2.4675,4e-05,-4e-05,0,0.03308,0.0001,-9e-05,0,1.343,0.018,-0.016,0,0.03543,,,1,0.079,0.048,-0.029,0,,,,,1121.0,10.0,-9.0,0,10.07,0.05,-0.05,0,0.01743,0.00019,-0.00016,0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,,5033.0,41.0,-35.0,0,0.71,0.01,-0.01,0,0.79,0.01,-0.01,0,-0.09,0.03,-0.03,0,,,,,4.64,0.01,-0.01,0,,,,,,,,,,,,,2021-05-17
K2-341 b,1,1,1,Transit,1,0,0,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,36.552551,0.000127,-0.000122,0,,,,,3.21,0.25,-0.19,0,,,,,,,,,,,,,598.0,16.0,-15.0,0,42.13,3.55,-10.63,0,0.0251,0.0017,-0.0007,0,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,,5817.0,45.0,-48.0,0,1.16,0.06,-0.05,0,0.98,0.07,-0.07,0,-0.05,0.18,-0.18,0,,,,,4.3,0.05,-0.05,0,,,,,,,,,,,,,2021-08-23
K2-357 b,1,1,1,Transit,1,0,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,16.3488637,0.0013811,-0.0014022,0,0.145,0.0136,-0.0235,0,3.72,0.23,-0.21,0,,,,,,,,,,,,,735.0,8.0,-39.0,0,31.62,1.98,-5.24,0,0.034,0.0013,-0.0008,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,5794.0,210.0,-169.0,0,1.0,0.05,-0.05,0,0.98,0.07,-0.07,0,-0.02,0.14,-0.16,0,,,,,4.43,0.04,-0.04,0,,,,,,,,,,,,,2021-09-20
K2-49 b,1,1,1,Transit,1,0,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,2.77065,0.00015,-0.00015,0,0.0309,0.0029,-0.0029,0,1.93,0.53,-0.53,0,,,,,,,,,59.0,35.0,-35.0,0,,,,,,,,,0.0383,0.0028,-0.0028,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,4175.0,97.0,-97.0,0,0.45,0.12,-0.12,0,0.51,0.14,-0.14,0,,,,,,,,,4.81,0.11,-0.11,0,,,,,,,,,,,,,2016-07-14
K2-268 c,1,1,5,Transit,1,0,0,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,9.327527,2.1e-05,-2e-05,0,,,,,2.69,0.77,-0.21,0,,,,,,,,,,,,,696.0,12.0,-13.0,0,17.17,4.82,-9.46,0,0.0312,0.0091,-0.0022,0,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,,5106.0,70.0,-61.0,0,0.78,0.02,-0.02,0,0.84,0.02,-0.02,0,0.03,0.05,-0.05,0,,,,,4.58,0.02,-0.03,0,,,,,,,,,24.87,2.64,-2.64,0,2021-08-30
K2-118 b,1,1,1,Transit,1,0,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,50.92092,0.005584,-0.005249,0,0.245,0.008,-0.008,0,2.54,0.23,-0.2,0,,,,,0.2,0.183774,-0.159064,0,4.3,0.6,-0.6,0,,,,,71.82,4.74,-4.63,0,0.03174,0.0021,-0.00175,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,,4726.29,142.64,-127.34,0,0.73,0.05,-0.04,0,0.76,0.08,-0.08,0,,,,,,,,,,,,,,,,,,,,,,,,,2017-10-03
K2-172 b,1,1,2,Transit,1,0,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,14.316941,0.001445,-0.001411,0,,,,,1.666,0.16,-0.095,0,,,,,,,,,,,,,,,,,25.147602,3.117793,-8.474158,0,0.01758,0.0015,-0.00081,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5569.0,50.0,-50.0,0,0.87,0.04,-0.03,0,0.93,0.03,-0.03,0,-0.06,0.08,-0.08,0,,,,,4.61,0.1,-0.1,0,,,,,,,,,,,,,2018-02-14
K2-244 b,1,1,1,Transit,1,0,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,21.06884,0.0032,-0.00325,0,0.1418,0.001,-0.0011,0,1.75,0.13,-0.1,0,,,,,,,,,,,,,638.0,7.0,-7.0,0,38.3,5.5,-10.1,0,0.0174,0.0013,-0.0009,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,,5677.0,38.0,-39.0,0,0.92,0.02,-0.01,0,0.86,0.02,-0.02,0,-0.29,0.03,-0.03,0,,,,,4.44,0.02,-0.02,0,,,,,3.69,0.24,-0.24,0,,,,,2022-03-28
K2-340 b,1,1,1,Transit,1,0,0,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,29.740451,0.000169,-0.000161,0,,,,,3.36,0.44,-0.32,0,,,,,,,,,,,,,606.0,31.0,-36.0,0,40.8,3.4,-9.36,0,0.0268,0.0017,-0.001,0,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,,5532.0,90.0,-90.0,0,1.13,0.14,-0.1,0,0.93,0.04,-0.04,0,0.08,0.13,-0.14,0,,,,,4.3,0.07,-0.09,0,,,,,,,,,,,,,2021-08-23
K2-35 c,1,1,2,Transit,1,0,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,5.608352,0.000335,-0.000338,0,0.055,0.002,-0.002,0,1.93,0.13,-0.11,0,,,,,0.12,0.156754,-0.096124,0,68.0,12.1,-10.5,0,,,,,19.1,0.9,-0.91,0,0.02849,0.00138,-0.00109,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,,4402.71,95.55,-93.27,0,0.62,0.03,-0.03,0,0.7,0.07,-0.07,0,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-15
K2-58 b,1,1,3,Transit,1,0,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,7.05254,0.00032,-0.00032,0,0.0692,0.0021,-0.0021,0,2.68,0.37,-0.37,0,,,,,,,,,118.0,36.0,-36.0,0,,,,,,,,,0.028,0.0022,-0.0022,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,5413.0,255.0,-255.0,0,0.86,0.1,-0.1,0,0.89,0.08,-0.08,0,,,,,,,,,4.52,0.07,-0.07,0,,,,,,,,,,,,,2016-07-14
