System,lambda,lambda_err,psi,psi_err,Ephemeris_reference,sy_snum,sy_pnum,cb_flag,pl_refname,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_insol,pl_insol_err,pl_eqt,pl_eqt_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_refname,st_spectype,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_lum,st_lum_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,st_rotp,st_rotp_err,rowupdate
GJ 3470 b,101.0,21.5,97.0,13.5,2022ApJ...931L..15S,1,1,0,<a refstr=AWIPHAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.2574A/abstract target=ref>Awiphan et al. 2016</a>,3.3366496,3.6000000000000003e-06,0.0355,0.0019,4.57,0.18,0.04373,0.00472,,,,,593.5,96.5,13.98,0.24000000000000002,,,<a refstr=AWIPHAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.2574A/abstract target=ref>Awiphan et al. 2016</a>,,3600.0,100.0,0.55,0.02,0.54,0.045,0.2,0.1,,,4.7,0.05,,,,,,,2019-01-28
GPX-1 b,6.8,1.7,,,arXiv:2407.21235,1,1,0,<a refstr=BENNI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.4956B/abstract target=ref>Benni et al. 2021</a>,1.744579,8e-06,0.0338,0.0003,16.477,1.121,19.7,1.6,0.0,0.0,4650.0,370.0,2300.0,48.0,4.67,0.43500000000000005,0.095,0.002,<a refstr=BENNI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.4956B/abstract target=ref>Benni et al. 2021</a>,F2,7000.0,200.0,1.56,0.1,1.68,0.1,0.35,0.1,0.727,0.0325,4.27,0.05,0.27,0.12,40.0,10.0,,,2021-10-04
HAT-P-1 b,3.7,2.1,,,2008ApJ...686..649J,2,1,0,<a refstr=NIKOLOV_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.437...46N/abstract target=ref>Nikolov et al. 2014</a>,4.46529976,5.5e-07,0.05561,0.000825,14.785,0.213,0.525,0.019,,,,,1322.0,14.5,9.853,0.071,0.11802,0.00018,<a refstr=NIKOLOV_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.437...46N/abstract target=ref>Nikolov et al. 2014</a>,,5980.0,49.0,1.17,0.03,1.15,0.05,0.13,0.008,,,4.36,0.01,,,,,,,2015-09-08
HAT-P-2 b,0.2,12.35,,,2008A+A...481..529L,1,2,0,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,5.6335158,3.6e-06,0.06814,0.00051,,,8.62,0.17,0.5172,0.0019,,,,,,,,,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,F8,6290.0,60.0,1.39,0.09,1.33,0.03,0.18,0.18,0.53,0.08,,,1.44,0.47,,,,,2018-09-25
HAT-P-3 b,21.2,8.7,,,2018A+A...613A..41M,2,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.8997,5.4e-05,,,10.536,0.785,0.65,0.11,0.0,0.0,,,,,10.05,0.5,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5185.0,80.0,0.87,0.06,1.06,0.28,0.27,0.27,,,4.56,0.03,,,,,,,2018-05-22
HAT-P-4 b,4.9,11.9,,,2011AJ....141...63W,2,1,0,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,3.056536,3.056536,0.04438,0.001155,14.28,0.611,0.671,0.0385,0.0,0.0,,,1686.0,28.0,6.04,0.105,0.082,0.00044,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,,5860.0,80.0,,,,,,,0.431,0.062,,,,,,,,,2014-05-14
HAT-P-6 b,165.0,6.0,,,2012ApJ...757...18A,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.85298,5e-06,,,16.589,1.681,1.32,0.3,0.0,0.0,,,,,7.73,0.34,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6570.0,80.0,1.62,0.17,1.79,0.6,-0.13,0.13,,,4.22,0.03,,,,,,,2018-04-25
HAT-P-7 b,139.7,8.75,115.0,17.5,2014PASJ...66...94B,2,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.20474,1.7e-05,,,16.926,2.354,1.84,0.53,0.0,0.0,,,,,4.13,0.15,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6389.0,17.0,2.0,0.28,1.56,0.68,0.26,0.26,,,4.07,0.06,,,,,,,2018-04-25
HAT-P-8 b,17.0,10.35,,,2011A+A...533A.113M,3,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.07634,4e-06,,,15.693,1.457,1.28,0.27,0.0,0.0,,,,,6.13,0.29,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6200.0,80.0,1.57,0.15,1.27,0.41,0.01,0.01,,,4.15,0.03,,,,,,,2018-04-25
HAT-P-9 b,16.0,8.0,,,2011A+A...533A.113M,1,1,0,<a refstr=WANG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...82W/abstract target=ref>Wang et al. 2019</a>,3.92281072,1.02e-06,0.05287,0.00078,15.614,0.74,0.749,0.0635,0.084,0.0495,931.0,71.0,1540.0,31.0,8.5,0.345,0.10696,0.000865,<a refstr=WANG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...82W/abstract target=ref>Wang et al. 2019</a>,,6350.0,150.0,1.34,0.065,1.28,0.06,0.12,0.2,0.418,0.0405,4.29,0.035,,,,,,,2019-07-08
