System,lambda,lambda_err,psi,psi_err,Ephemeris_reference,sy_snum,sy_pnum,cb_flag,pl_refname,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_insol,pl_insol_err,pl_eqt,pl_eqt_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_refname,st_spectype,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_lum,st_lum_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,st_rotp,st_rotp_err,rowupdate
HAT-P-34 b,0.0,14.0,,,2012ApJ...757...18A,1,1,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,5.452654,1.6e-05,0.06774,0.00075,13.417,1.244,3.33,0.20500000000000002,0.432,0.028,,,,,,,,,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,6442.0,88.0,1.53,0.12000000000000001,1.39,0.05,0.22,0.04,,,,,1.7,0.45,24.0,0.5,,,2020-03-13
HAT-P-36 b,14.0,18.0,0.0,31.5,2015A+A...579A.136M,1,1,0,<a refstr=CHAKRABARTY__AMP__SENGUPTA_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...39C/abstract target=ref>Chakrabarty &amp; Sengupta 2019</a>,1.32734683,4.8e-07,0.0241,0.00047,14.314,0.224,1.8482,0.087,,,,,1780.97,18.8,4.95,0.042,0.1199,0.0002,<a refstr=CHAKRABARTY__AMP__SENGUPTA_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...39C/abstract target=ref>Chakrabarty &amp; Sengupta 2019</a>,,5620.0,40.0,1.04,0.01,1.03,0.03,,,,,,,,,,,,,2019-07-08
HAT-P-41 b,22.1,3.4,,,2017AJ....154..137J,2,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.69405,4e-06,,,22.978,5.604,1.19,0.6,0.0,0.0,,,,,5.45,0.18,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6390.0,100.0,2.05,0.5,2.56,1.9,0.21,0.21,,,4.14,0.02,,,,,,,2018-04-25
HAT-P-49 b,97.7,1.8,,,2023A+A...669A..63B,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.69155,6e-06,,,17.822,2.018,2.2,0.59,0.0,0.0,,,,,5.15,0.31,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6820.0,52.0,2.06,0.23,2.22,0.83,0.07,0.07,,,4.1,0.04,,,,,,,2018-04-25
HAT-P-56 b,8.0,2.0,,,2016MNRAS.460.3376Z,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.79083,5e-06,,,16.926,1.233,2.31,0.44,,,,,,,6.37,0.11,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6566.0,50.0,1.47,0.11,1.42,0.33,0.0,0.0,,,3.39,0.19,,,,,,,2018-04-25
HAT-P-67 b,2.2,0.4,,,2024A+A...687A.143S,2,1,0,<a refstr=ZHOU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..211Z/abstract target=ref>Zhou et al. 2017</a>,4.8101025,3.8e-07,0.06505,0.0017599999999999998,23.371,0.936,0.34,0.22,0.0,0.0,,,1903.0,25.0,5.691,0.0905,0.0834,0.0017,<a refstr=ZHOU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..211Z/abstract target=ref>Zhou et al. 2017</a>,,6406.0,63.0,2.55,0.09,1.64,0.11,-0.08,0.05,0.939,0.057,3.85,0.015,1.24,0.245,35.8,1.1,,,2017-04-11
HAT-P-69 b,30.3,6.699999999999999,,,2019AJ....158..141Z,1,1,0,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..141Z/abstract target=ref>Zhou et al. 2019</a>,4.7869491,1.95e-06,0.06555,0.000525,18.786,0.471,3.58,0.58,0.0,0.0,,,1930.0,155.0,7.32,0.16999999999999998,0.08703,0.0007750000000000001,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..141Z/abstract target=ref>Zhou et al. 2019</a>,,7394.0,480.0,1.93,0.045,1.65,0.045,-0.069,0.0665,1.0,0.056499999999999995,4.11,0.045,1.27,0.36,77.44,0.56,,,2019-08-12
HAT-P-70 b,107.9,1.85,,,2022AJ....163...96B,1,1,0,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..141Z/abstract target=ref>Zhou et al. 2019</a>,2.74432452,7.35e-07,0.04739,0.000685,20.961,1.401,6.78,6.78,0.0,0.0,,,2562.0,47.5,5.45,0.39,0.09887,0.00114,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..141Z/abstract target=ref>Zhou et al. 2019</a>,,8450.0,615.0,1.86,0.105,1.89,0.01,-0.059,0.08149999999999999,1.223,0.13,4.18,0.06,0.6,0.29000000000000004,99.85,0.625,,,2019-08-12
HATS-2 b,3.0,18.0,38.0,27.0,2024A+A...685A.131B,1,1,0,<a refstr=BIAGIOTTI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240304476B/abstract target=ref>Biagiotti et al. 2024</a>,1.35413379,8e-08,0.02317,0.00044,12.576,0.269,1.37,0.16,,,,,1550.0,29.0,,,,,<a refstr=BIAGIOTTI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240304476B/abstract target=ref>Biagiotti et al. 2024</a>,,5227.0,95.0,0.88,0.02,0.9,0.05,,,,,4.51,0.01,7.2,6.4,,,22.46,5.2,2024-04-10
HATS-3 b,3.0,25.0,,,2014ApJ...792..112A,1,1,0,<a refstr=BAYLISS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013AJ....146..113B/abstract target=ref> Bayliss et al. 2013 </a>,3.547851,5e-06,0.0485,0.0005,15.48,0.392,1.071,0.136,0.0,0.0,,,1648.0,24.0,7.42,0.12,0.1011,0.0006,<a refstr=BAYLISS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013AJ....146..113B/abstract target=ref> Bayliss et al. 2013 </a>,F,6351.0,76.0,1.4,0.03,1.21,0.04,-0.157,0.07,0.456,0.032,4.22,0.01,3.2,0.5,9.12,1.31,,,2018-10-24
HATS-14 b,76.0,4.5,,,2015ApJ...814L..16Z,1,1,0,<a refstr=MANCINI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...580A..63M/abstract target=ref>Mancini et al. 2015</a>,2.7667641,2.7e-06,0.03815,0.00032,11.646,0.303,1.071,0.07,0.142,0.142,,,1276.0,20.0,8.8,0.16999999999999998,0.1145,0.0012,<a refstr=MANCINI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...580A..63M/abstract target=ref>Mancini et al. 2015</a>,,5346.0,60.0,0.93,0.015,0.97,0.02,0.33,0.06,,,4.48,0.02,4.9,1.7,3.8,1.2,,,2015-08-12
HATS-38 b,108.0,13.5,,,arXiv:2406.18631,1,1,0,<a refstr=JORD_AACUTE_N_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..222J/abstract target=ref>Jord&aacute;n et al. 2020</a>,4.375021,1e-05,0.05036,0.000265,6.882,0.191,0.074,0.011,0.0,0.0,464.7,15.0,1294.0,10.0,9.81,0.14,0.057,0.0012,<a refstr=JORD_AACUTE_N_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..222J/abstract target=ref>Jord&aacute;n et al. 2020</a>,,5732.0,25.0,1.1,0.02,0.89,0.015,-0.102,0.043,0.072,0.0135,4.3,0.01,11.89,0.6,3.1,0.27,,,2020-08-06
HATS-70 b,8.9,5.05,,,2019AJ....157...31Z,1,1,0,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...31Z/abstract target=ref>Zhou et al. 2019</a>,1.8882378,1.5e-06,0.03632,0.0008049999999999999,15.513,0.8574999999999999,12.9,1.7000000000000002,0.18,0.18,9110.0,170.0,2730.0,150.0,4.17,0.14500000000000002,0.074,0.0028,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...31Z/abstract target=ref>Zhou et al. 2019</a>,,7930.0,725.0,1.88,0.065,1.78,0.12,0.041,0.101,1.079,0.1545,4.17,0.04,0.81,0.41500000000000004,40.61,0.33499999999999996,,,2019-12-02
HD 3167 b,6.6,7.25,29.5,8.3,2021A+A...654A.152B,1,4,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.959641,1.1e-05,0.01796,0.00034,1.67,0.135,0.01564,0.00074,0.0,0.0,1650.0,110.0,1774.0,29.0,,,,,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5261.0,60.0,0.88,0.01,0.84,0.045,0.04,0.05,,,,,7.8,4.3,,,,,2023-04-17
HD 3167 c,108.9,5.45,107.7,5.0,2021A+A...654A.152B,1,4,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,29.8454,0.0012,0.1776,0.0034000000000000002,3.0,0.33,0.03502,0.0023899999999999998,0.06,0.06,16.9,1.1,564.0,9.0,,,,,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5261.0,60.0,0.88,0.01,0.84,0.045,0.04,0.05,,,,,7.8,4.3,,,,,2023-04-17
HD 17156 b,10.0,5.1,,,2009PASJ...61..991N,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,21.21663,0.00045,,,12.33,0.336,3.51,0.21,0.68,0.0,,,,,23.34,0.43,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6040.0,24.0,1.55,0.04,1.41,0.12,0.19,0.19,,,4.2,0.06,,,,,,,2018-04-25
HD 63433 b,8.0,39.0,,,2020AJ....160..179M,1,3,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,7.1079384,6.6e-06,0.072,0.001,2.164,0.053000000000000005,0.11736,0.0302,0.0,0.0,,,886.440730742,12.363256008699999,,,0.02163,0.00043,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5634.0,63.5,0.92,0.01,0.99,0.025,0.079,0.0535,-0.117,0.023,4.51,0.015,1.5,1.3,,,,,2024-07-23
HD 80606 b,42.0,8.0,,,2010A+A...516A..95H,2,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,111.4367,0.0004,,,11.994,0.336,4.38,0.74,0.93,0.0,,,,,98.38,7.32,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5561.0,24.0,1.04,0.02,1.15,0.27,0.35,0.35,,,4.42,0.02,,,,,,,2018-04-25
HD 106315 c,2.7,2.6500000000000004,,,2023A+A...669A..63B,1,2,0,<a refstr=BARROS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..25B/abstract target=ref>Barros et al. 2017</a>,21.05704,0.00046,0.1536,0.0017,4.35,0.23,0.04782,0.01164,0.22,0.15,,,886.0,20.0,25.5,1.2,0.03086,0.001,<a refstr=BARROS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..25B/abstract target=ref>Barros et al. 2017</a>,F5 V,6327.0,48.0,1.3,0.06,1.09,0.04,-0.311,0.079,,,4.25,0.04,4.48,0.96,12.71,0.4,,,2019-07-19
HD 110067 c,6.0,25.0,,,2024A+A...687L...2Z,3,6,0,<a refstr=LUQUE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023Natur.623..932L/abstract target=ref>Luque et al. 2023</a>,13.673694,2.4e-05,0.1039,0.0013,2.388,0.036,0.01982,0.01982,,,,,699.0,9.0,28.37,0.3,0.0278,0.0003,<a refstr=LUQUE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023Natur.623..932L/abstract target=ref>Luque et al. 2023</a>,K0.0 V,5266.0,64.0,0.79,0.01,0.8,0.04,-0.2,0.04,,,4.54,0.03,8.1,4.0,2.5,1.0,,,2023-12-05
HD 118203 b,12.0,9.0,0.0,16.75,arXiv:2407.21377,1,2,0,<a refstr=MACIEJEWSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240711706M/abstract target=ref>Maciejewski et al. 2024</a>,6.134989,1.3e-06,0.0701,0.0004,12.554,1.009,2.182,0.033,0.301,0.006,,,1371.0,16.5,7.46,0.125,0.05541,0.00021,<a refstr=MACIEJEWSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240711706M/abstract target=ref>Maciejewski et al. 2024</a>,K0 IV,5788.0,51.0,2.03,0.16,1.22,0.02,0.22,0.02,0.7,0.08,3.99,0.12,5.25,0.35,3.23,0.77,32.0,8.0,2024-08-16
HD 149026 b,12.0,7.0,,,2012ApJ...757...18A,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.87589,2e-06,,,8.295,0.224,0.38,0.06,0.0,0.0,,,,,6.8,0.52,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6179.0,15.0,1.41,0.03,1.42,0.33,0.32,0.32,,,4.37,0.04,,,,,,,2018-04-25
HD 189733 b,1.0,0.225,13.6,6.9,2024A+A...682A..28C,2,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.21857567,1.5e-07,,,12.666,0.112,1.13,0.08,0.0,0.0,,,,,8.84,0.27,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5052.0,16.0,0.75,0.01,0.79,0.08,-0.02,0.02,,,4.49,0.05,,,,,,,2018-12-03
HD 209458 b,1.58,0.08,,,2021A+A...647A..26C,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.52474859,3.8e-07,,,15.581,0.224,0.73,0.04,0.0,0.0,,,,,8.81,0.19,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6091.0,10.0,1.19,0.02,1.23,0.09,0.01,0.01,,,4.45,0.02,,,,,,,2018-12-03
HD 332231 b,2.0,6.0,,,2022A+A...660A..99K,1,1,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,18.712024,2.3e-05,0.145,0.003,9.073,0.181,0.23314,0.017305,0.0,0.0,,,798.303294664,13.621311811750001,,,0.0657,0.00053,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,6128.0,83.5,1.27,0.02,1.16,0.03,0.043,0.062,0.308,0.025,4.3,0.02,2.9,0.8500000000000001,,,,,2024-07-23
HIP 67522 b,5.8,4.25,20.2,9.5,2021ApJ...922L...1H,1,1,0,<a refstr=RIZZUTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...33R/abstract target=ref>Rizzuto et al. 2020</a>,6.959503,1.55e-05,,,10.07,0.47,,,0.059,0.1195,,,1174.0,20.5,11.7,0.255,0.0667,0.00115,<a refstr=RIZZUTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...33R/abstract target=ref>Rizzuto et al. 2020</a>,,5675.0,75.0,1.38,0.06,1.22,0.05,0.0,0.0,0.243,0.0225,,,0.017,0.002,54.2,0.7,1.42,0.02,2020-07-17
K2-25 b,3.0,16.0,17.0,9.5,2020AJ....160..192S,1,1,0,<a refstr=STEFANSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..192S/abstract target=ref>Stefansson et al. 2020</a>,3.48456408,5.5e-07,0.0287,0.0012,3.44,0.12,0.07709,0.017145,0.428,0.0495,9.91,0.905,494.0,11.0,21.09,0.58,0.1075,0.0018,<a refstr=STEFANSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..192S/abstract target=ref>Stefansson et al. 2020</a>,M4.5 V,3207.0,58.0,0.29,0.01,0.26,0.01,0.15,0.03,-2.088,0.0155,4.94,0.03,0.73,0.051000000000000004,8.8,0.6,1.88,0.01,2022-03-28
K2-29 b,1.5,8.7,,,2016ApJ...824...55S,2,1,0,<a refstr=SANTERNE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...824...55S/abstract target=ref>Santerne et al. 2016</a>,3.2588321,1.9e-06,0.04217,0.00024,13.339,0.224,0.73,0.04,0.066,0.022,,,1171.0,10.0,10.51,0.15,0.14188,0.00062,<a refstr=SANTERNE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...824...55S/abstract target=ref>Santerne et al. 2016</a>,G7 V,5358.0,38.0,0.86,0.01,0.94,0.02,0.16,0.03,,,4.54,0.01,2.6,1.2,3.7,0.5,10.79,0.02,2016-03-23
K2-33 b,10.0,23.0,,,2024MNRAS.530.3117H,1,1,0,<a refstr=MANN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...61M/abstract target=ref>Mann et al. 2016</a>,5.424865,3.3e-05,,,5.04,0.355,3.7,3.7,0.0,0.0,,,,,10.4,0.385,0.0432,0.0007999999999999999,<a refstr=MANN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...61M/abstract target=ref>Mann et al. 2016</a>,M3.3,3540.0,70.0,1.05,0.07,0.56,0.09,,,-0.824,0.088,,,0.009,0.001,8.2,1.8,6.29,0.17,2016-07-06
K2-34 b,1.0,9.5,,,2016ApJ...825...53H,1,1,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,2.9956348,2e-07,0.0442,0.002,13.75,0.585,,,,,,,1687.0,24.5,6.68,0.1,0.0887,0.0005,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,6168.0,61.0,1.42,0.055,1.16,0.04,0.01,0.035,,,4.2,0.03,,,,,,,2021-09-20
HIP 41378 d,57.0,22.0,,,2022A+A...668A.172G,1,5,0,<a refstr=BERARDO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..185B/abstract target=ref>Berardo et al. 2019</a>,1114.0,1114.0,,,,,,,,,,,,,,,0.0256,0.0006000000000000001,<a refstr=BERARDO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..185B/abstract target=ref>Berardo et al. 2019</a>,,6226.0,43.0,1.34,0.03,1.17,0.07,,,,,,,,,,,,,2019-06-03
K2-105 b,81.0,48.5,,,2023A+A...669A..63B,1,1,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,8.2669928,6.8500000000000005e-06,0.0833,0.00775,3.59,0.09,,,,,,,928.0,12.0,18.48,1.71,0.0339,0.00075,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,5636.0,50.5,0.97,0.01,1.05,0.02,0.23,0.035,,,4.49,0.01,,,,,,,2021-09-20
K2-139 b,17.0,7.0,,,arXiv:2406.08558,1,1,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,28.380619,0.0005395,0.1796,0.0015,9.11,0.17,,,,,,,524.0,8.0,47.25,1.355,0.0951,0.0009499999999999999,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,5370.0,68.0,0.88,0.01,0.96,0.02,0.24,0.05,,,4.54,0.02,,,,,,,2018-10-24
K2-140 b,0.5,9.7,,,2021AJ....162..182R,1,1,0,<a refstr=KORTH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.482.1807K/abstract target=ref>Korth et al. 2019</a>,6.569188,3.1e-05,0.068,0.001,13.563,1.009,0.93,0.04,0.0,0.0,204.0,10.0,962.0,28.0,14.1,0.2,0.117,0.001,<a refstr=KORTH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.482.1807K/abstract target=ref>Korth et al. 2019</a>,G6 V,5585.0,120.0,1.06,0.065,0.96,0.05,0.1,0.1,,,4.4,0.2,9.8,4.0,3.6,1.0,14.6,4.1,2021-07-12
K2-232 b,11.1,6.6,,,2021AJ....162...50W,1,1,0,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.2572B/abstract target=ref>Brahm et al. 2018</a>,11.168454,2.3e-05,0.10356,0.0007899999999999999,11.209,0.2355,0.398,0.037,0.258,0.025,,,1030.0,15.0,19.25,0.29000000000000004,0.08868,0.00043000000000000004,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.2572B/abstract target=ref>Brahm et al. 2018</a>,,6154.0,60.0,1.16,0.02,1.19,0.03,0.1,0.04,0.238,0.026500000000000003,4.38,0.02,1.43,0.7849999999999999,4.16,0.282,,,2018-04-04
HD 89345 b,74.0,33.5,80.0,22.5,2023A+A...669A..63B,1,1,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..127Y/abstract target=ref>Yu et al. 2018</a>,11.8143,0.0002,0.1066,0.0013,7.398,0.325,0.11,0.0175,0.22,0.1125,,,1089.0,15.5,13.11,0.37,0.0389,0.00115,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..127Y/abstract target=ref>Yu et al. 2018</a>,,5576.0,74.5,1.75,0.05,1.16,0.04,0.421,0.05,0.425,0.025500000000000002,4.02,0.03,7.53,1.145,,,,,2018-08-21
EPIC 246851721 b,1.48,0.85,3.4,2.55,2018AJ....156..250Y,2,1,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..250Y/abstract target=ref>Yu et al. 2018</a>,6.180235,1.4e-05,0.07229,0.000745,11.781,0.493,3.0,1.15,,,642.0,29.5,1401.0,16.0,9.8,0.17,0.0681,0.00255,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..250Y/abstract target=ref>Yu et al. 2018</a>,F5 V,6202.0,51.0,1.59,0.03,1.32,0.04,0.141,0.0835,0.526,0.0245,4.16,0.02,3.02,0.45,74.92,0.61,,,2019-12-02
K2-290 b,173.0,49.0,,,2021PNAS..11820174H,3,2,0,<a refstr=HJORTH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3522H/abstract target=ref>Hjorth et al. 2019</a>,9.21165,0.000335,0.0923,0.0066,3.06,0.16,0.0343,0.0343,0.0,0.0,,,1230.0,38.0,13.15,0.675,0.019,0.00028,<a refstr=HJORTH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3522H/abstract target=ref>Hjorth et al. 2019</a>,,6302.0,120.0,1.51,0.07,1.19,0.07500000000000001,-0.06,0.1,,,4.23,0.1,4.0,1.2000000000000002,6.5,1.0,,,2019-01-22
K2-290 c,153.0,8.0,124.0,6.0,2021PNAS..11820174H,3,2,0,<a refstr=HJORTH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3522H/abstract target=ref>Hjorth et al. 2019</a>,48.36685,0.000405,0.305,0.017,11.276,0.56,0.774,0.047,0.0,0.0,,,676.0,16.0,43.5,1.2,0.06848,0.000445,<a refstr=HJORTH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3522H/abstract target=ref>Hjorth et al. 2019</a>,,6302.0,120.0,1.51,0.07,1.19,0.07500000000000001,-0.06,0.1,,,4.23,0.1,4.0,1.2000000000000002,6.5,1.0,,,2019-01-22
K2-329 b,24.0,11.0,,,arXiv:2406.08558,1,1,0,<a refstr=SHA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...82S/abstract target=ref>Sha et al. 2021</a>,12.4551225,3.1e-06,0.1016,0.00185,8.676,0.28,0.26,0.020999999999999998,0.0697,0.0405,45.7,1.9000000000000001,650.0,61.5,26.62,0.535,0.09679,0.000565,<a refstr=SHA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...82S/abstract target=ref>Sha et al. 2021</a>,,5282.0,39.5,0.82,0.025,0.9,0.05,0.098,0.0675,-0.325,0.028,4.57,0.015,1.8,1.75,1.9,0.5,,,2020-11-13
